problem_no,instance,kir_2017,current_bks,time_limit_s
1,A-n32-k5,784,784,25
2,A-n33-k5,661,661,26
3,A-n33-k6,742,742,26
4,A-n34-k5,778,778,27
5,A-n36-k5,799,799,29
6,A-n37-k5,669,669,29
7,A-n37-k6,949,949,29
8,A-n38-k5,730,730,30
9,A-n39-k5,822,822,31
10,A-n39-k6,831,831,31
11,A-n44-k6,937,937,35
12,A-n45-k6,944,944,36
13,A-n45-k7,1146,1146,36
14,A-n46-k7,914,914,37
15,A-n48-k7,1073,1073,38
16,A-n53-k7,1016,1010,53
17,A-n54-k7,1167,1167,54
18,A-n55-k9,1073,1073,55
19,A-n60-k9,1354,1354,60
20,A-n61-k9,1034,1034,61
21,A-n62-k8,1288,1288,62
22,A-n63-k10,1314,1314,63
23,A-n63-k9,1616,1616,63
24,A-n64-k9,1401,1401,64
25,A-n65-k9,1174,1174,65
26,A-n69-k9,1159,1159,69
27,A-n80-k10,1763,1763,80
28,G-n262-k25,6119,5526,600
29,M-n151-k12,1053,1015,301
30,M-n200-k17,1373,1275,361
