problem_no,instance,kir_2017,time_limit_s,vidal_runs,vidal_best,vidal_average,vidal_std,vidal_median,vidal_worst,vidal_best_seeds,v2_runs,v2_best,v2_average,v2_std,v2_median,v2_worst,v2_best_seeds,diff_best_v2_hgs,diff_best_v2_hgs_pct,diff_average_v2_hgs,diff_average_v2_hgs_pct
1,A-n32-k5,784,25,10,784,784,0,784,784,1|2|3|4|5|6|7|8|9|10,10,784,784,0,784,784,1|2|3|4|5|6|7|8|9|10,0,0.000,0,0.000
2,A-n33-k5,661,26,10,661,661,0,661,661,1|2|3|4|5|6|7|8|9|10,10,661,661,0,661,661,1|2|3|4|5|6|7|8|9|10,0,0.000,0,0.000
3,A-n33-k6,742,26,10,742,742,0,742,742,1|2|3|4|5|6|7|8|9|10,10,742,742.1,0.316228,742,743,1|2|3|4|5|6|8|9|10,0,0.000,0.1,0.013
4,A-n34-k5,778,27,10,778,778,0,778,778,1|2|3|4|5|6|7|8|9|10,10,778,778,0,778,778,1|2|3|4|5|6|7|8|9|10,0,0.000,0,0.000
5,A-n36-k5,799,29,10,799,799,0,799,799,1|2|3|4|5|6|7|8|9|10,10,799,799.8,2.529822,799,807,1|3|4|5|6|7|8|9|10,0,0.000,0.8,0.100
6,A-n37-k5,669,29,10,669,669,0,669,669,1|2|3|4|5|6|7|8|9|10,10,669,669,0,669,669,1|2|3|4|5|6|7|8|9|10,0,0.000,0,0.000
7,A-n37-k6,949,29,10,949,949,0,949,949,1|2|3|4|5|6|7|8|9|10,10,949,949.6,1.264911,949,953,2|4|5|6|7|8|9,0,0.000,0.6,0.063
8,A-n38-k5,730,30,10,730,730,0,730,730,1|2|3|4|5|6|7|8|9|10,10,730,730,0,730,730,1|2|3|4|5|6|7|8|9|10,0,0.000,0,0.000
9,A-n39-k5,822,31,10,822,822,0,822,822,1|2|3|4|5|6|7|8|9|10,10,822,822.3,0.948683,822,825,1|3|4|5|6|7|8|9|10,0,0.000,0.3,0.036
10,A-n39-k6,831,31,10,831,831,0,831,831,1|2|3|4|5|6|7|8|9|10,10,831,832.8,0.632456,833,833,4,0,0.000,1.8,0.217
11,A-n44-k6,937,35,10,937,937,0,937,937,1|2|3|4|5|6|7|8|9|10,10,937,939.9,5.363457,937,954,1|5|7|8|9|10,0,0.000,2.9,0.309
12,A-n45-k6,944,36,10,944,944,0,944,944,1|2|3|4|5|6|7|8|9|10,10,944,945.8,4.467164,944,958,1|2|3|4|5|8|9|10,0,0.000,1.8,0.191
13,A-n45-k7,1146,36,10,1146,1146,0,1146,1146,1|2|3|4|5|6|7|8|9|10,10,1146,1148.7,4.029061,1146,1158,1|3|5|6|8|10,0,0.000,2.7,0.236
14,A-n46-k7,914,37,10,914,914,0,914,914,1|2|3|4|5|6|7|8|9|10,10,914,914,0,914,914,1|2|3|4|5|6|7|8|9|10,0,0.000,0,0.000
15,A-n48-k7,1073,38,10,1073,1073,0,1073,1073,1|2|3|4|5|6|7|8|9|10,10,1073,1081.4,8.66923,1084,1100,2|6|7|10,0,0.000,8.4,0.783
16,A-n53-k7,1016,53,10,1010,1010,0,1010,1010,1|2|3|4|5|6|7|8|9|10,10,1010,1011.9,2.726414,1011,1017,1|8|10,0,0.000,1.9,0.188
17,A-n54-k7,1167,54,10,1167,1167,0,1167,1167,1|2|3|4|5|6|7|8|9|10,10,1167,1171.5,7.245688,1167,1182,4|5|6|7|8|9|10,0,0.000,4.5,0.386
18,A-n55-k9,1073,55,10,1073,1073,0,1073,1073,1|2|3|4|5|6|7|8|9|10,10,1073,1074.1,3.478505,1073,1084,1|2|3|4|5|6|7|9|10,0,0.000,1.1,0.103
19,A-n60-k9,1354,60,10,1354,1354,0,1354,1354,1|2|3|4|5|6|7|8|9|10,10,1354,1356.4,5.25357,1354,1369,1|2|4|5|7|8|9|10,0,0.000,2.4,0.177
20,A-n61-k9,1034,61,10,1034,1034,0,1034,1034,1|2|3|4|5|6|7|8|9|10,10,1034,1039.6,9.617114,1036.5,1066,1|6,0,0.000,5.6,0.542
21,A-n62-k8,1288,62,10,1288,1288,0,1288,1288,1|2|3|4|5|6|7|8|9|10,10,1304,1310.5,5.681354,1308,1321,8,16,1.242,22.5,1.747
22,A-n63-k10,1314,63,10,1314,1314,0,1314,1314,1|2|3|4|5|6|7|8|9|10,10,1318,1322.4,3.864367,1320.5,1330,3,4,0.304,8.4,0.639
23,A-n63-k9,1616,63,10,1616,1616,0,1616,1616,1|2|3|4|5|6|7|8|9|10,10,1616,1625.2,8.664102,1624,1637,6|9,0,0.000,9.2,0.569
24,A-n64-k9,1401,64,10,1401,1401,0,1401,1401,1|2|3|4|5|6|7|8|9|10,10,1414,1427.8,10.90158,1427,1442,8,13,0.928,26.8,1.913
25,A-n65-k9,1174,65,10,1174,1174,0,1174,1174,1|2|3|4|5|6|7|8|9|10,10,1174,1178.9,4.228212,1177.5,1185,2|7,0,0.000,4.9,0.417
26,A-n69-k9,1159,69,10,1159,1159,0,1159,1159,1|2|3|4|5|6|7|8|9|10,10,1159,1166.9,4.254409,1167,1176,3,0,0.000,7.9,0.682
27,A-n80-k10,1763,80,10,1763,1763,0,1763,1763,1|2|3|4|5|6|7|8|9|10,10,1765,1778.9,8.102812,1777.5,1793,6,2,0.113,15.9,0.902
28,G-n262-k25,6119,600,10,5521,5525.5,1.581139,5526,5526,3,10,5693,5963.2,203.764461,5910,6271,4,172,3.115,437.7,7.921
29,M-n151-k12,1053,301,10,1015,1015,0,1015,1015,1|2|3|4|5|6|7|8|9|10,10,1015,1044.2,15.339129,1042,1068,6,0,0.000,29.2,2.877
30,M-n200-k17,1373,361,10,1274,1274.9,0.316228,1275,1275,5,10,1313,1340.5,16.084844,1341,1362,4,39,3.061,65.6,5.146
